Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.5,7419768,3,2473256.0,4670.0,2430,7412668,4277656.4,cudaStreamSynchronize
15.2,1864894,5,372978.8,376547.0,351206,388897,13739.9,cudaMemcpyAsync
10.2,1250704,5,250140.8,239515.0,209384,321596,42183.5,cudaFree
5.4,667393,5,133478.6,124742.0,114683,180083,26542.0,cudaMalloc
4.6,568421,3,189473.7,22631.0,5230,540560,304174.1,cudaLaunchKernel
3.1,377137,1,377137.0,377137.0,377137,377137,0.0,cuLibraryLoadData
0.4,44591,1,44591.0,44591.0,44591,44591,0.0,cudaMemsetAsync
0.3,30881,1,30881.0,30881.0,30881,30881,0.0,cudaStreamCreate
0.2,28071,2,14035.5,14035.5,9481,18590,6441.0,cudaStreamDestroy
0.0,4370,1,4370.0,4370.0,4370,4370,0.0,cudaStreamCreateWithFlags
0.0,2340,2,1170.0,1170.0,980,1360,268.7,cuLibraryGetKernel
0.0,1910,3,636.7,270.0,110,1530,777.8,cuKernelGetName
0.0,1740,1,1740.0,1740.0,1740,1740,0.0,cuModuleGetLoadingMode
