Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.8,5812094,3,1937364.7,13050.0,6080,5792964,3339048.8,cudaStreamSynchronize
16.3,1983709,5,396741.8,402188.0,369837,415228,17458.5,cudaMemcpyAsync
12.3,1493779,5,298755.8,266875.0,257475,364287,51865.7,cudaFree
8.5,1028220,3,342740.0,47751.0,12140,968329,542068.5,cudaLaunchKernel
7.9,962279,5,192455.8,180674.0,171813,238175,26694.1,cudaMalloc
5.6,678833,1,678833.0,678833.0,678833,678833,0.0,cuLibraryLoadData
0.7,90702,1,90702.0,90702.0,90702,90702,0.0,cudaMemsetAsync
0.4,46702,2,23351.0,23351.0,19921,26781,4850.8,cudaStreamDestroy
0.4,44781,1,44781.0,44781.0,44781,44781,0.0,cudaStreamCreate
0.1,9580,1,9580.0,9580.0,9580,9580,0.0,cudaStreamCreateWithFlags
0.0,3050,2,1525.0,1525.0,1490,1560,49.5,cuLibraryGetKernel
0.0,1460,3,486.7,360.0,250,850,319.4,cuKernelGetName
0.0,990,1,990.0,990.0,990,990,0.0,cuModuleGetLoadingMode
