Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.8,525225437,34,15447807.0,10067864.0,1810,123642845,24169935.1,poll
30.1,229773185,670,342945.1,23751.0,1040,32176402,1489345.5,ioctl
0.6,4941303,31,159396.9,16760.0,8540,3708799,660586.8,mmap64
0.1,920538,10,92053.8,34135.5,26080,604711,180367.3,sem_timedwait
0.1,546891,56,9765.9,7660.0,3670,51521,7229.2,open64
0.1,523428,35,14955.1,8880.0,2210,49741,13728.2,fopen
0.1,451348,2,225674.0,225674.0,174203,277145,72791.0,pthread_create
0.0,349067,16,21816.7,8505.0,4280,183074,43478.9,mmap
0.0,256535,28,9162.0,9730.0,1720,20321,4315.2,fclose
0.0,93002,1,93002.0,93002.0,93002,93002,0.0,fgets
0.0,84271,6,14045.2,11420.0,4491,32630,10479.7,open
0.0,74541,1,74541.0,74541.0,74541,74541,0.0,pthread_cond_wait
0.0,52561,4,13140.3,12675.0,10060,17151,3112.2,munmap
0.0,38360,11,3487.3,2570.0,1080,7430,2246.8,close
0.0,36050,12,3004.2,2665.0,1540,5710,1288.8,write
0.0,31570,2,15785.0,15785.0,11960,19610,5409.4,socket
0.0,30020,1,30020.0,30020.0,30020,30020,0.0,connect
0.0,29610,3,9870.0,10480.0,7350,11780,2277.1,pipe2
0.0,19971,11,1815.5,1430.0,1040,3961,925.1,read
0.0,12531,3,4177.0,1460.0,1450,9621,4714.6,fwrite
0.0,8640,1,8640.0,8640.0,8640,8640,0.0,putc
0.0,2140,1,2140.0,2140.0,2140,2140,0.0,bind
0.0,1480,1,1480.0,1480.0,1480,1480,0.0,fcntl
0.0,1430,1,1430.0,1430.0,1430,1430,0.0,listen
0.0,1420,1,1420.0,1420.0,1420,1420,0.0,pthread_cond_broadcast
0.0,1000,1,1000.0,1000.0,1000,1000,0.0,fflush
