Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.2,569207140,36,15811309.4,10071548.0,5031,145984909,27436162.9,poll
29.4,241868293,671,360459.5,30720.0,1570,37061469,1615023.5,ioctl
0.8,6379280,31,205783.2,22811.0,11700,4755403,846800.6,mmap64
0.1,721285,10,72128.5,57221.5,38690,194204,47023.4,sem_timedwait
0.1,693336,35,19809.6,12340.0,3650,61492,15420.7,fopen
0.1,667257,56,11915.3,10230.5,5780,32901,4905.0,open64
0.1,667041,16,41690.1,13895.5,5860,250344,69623.3,mmap
0.1,533570,2,266785.0,266785.0,249404,284166,24580.4,pthread_create
0.0,386746,28,13812.4,15365.0,2440,32310,6687.8,fclose
0.0,195214,1,195214.0,195214.0,195214,195214,0.0,putc
0.0,120332,1,120332.0,120332.0,120332,120332,0.0,pthread_cond_wait
0.0,119423,1,119423.0,119423.0,119423,119423,0.0,fgets
0.0,92732,6,15455.3,13165.5,4760,32921,9968.8,open
0.0,75940,4,18985.0,17280.0,10780,30600,8375.8,munmap
0.0,66680,17,3922.4,2440.0,1070,18640,4373.6,close
0.0,63420,12,5285.0,4605.0,1560,10750,2372.3,write
0.0,54452,2,27226.0,27226.0,11721,42731,21927.4,socket
0.0,53490,15,3566.0,3210.0,1790,7790,1717.6,read
0.0,50961,1,50961.0,50961.0,50961,50961,0.0,connect
0.0,39950,3,13316.7,15240.0,6550,18160,6039.2,pipe2
0.0,21560,3,7186.7,3180.0,2220,16160,7785.9,fwrite
0.0,13850,10,1385.0,1190.0,1030,2940,576.6,fcntl
0.0,6030,2,3015.0,3015.0,1620,4410,1972.8,pthread_cond_broadcast
0.0,3320,1,3320.0,3320.0,3320,3320,0.0,bind
0.0,2150,1,2150.0,2150.0,2150,2150,0.0,listen
