Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.6,577901826,40,14447545.7,10066338.5,2730,116644885,21114207.5,poll
27.3,219937733,664,331231.5,23595.0,1060,28122107,1307243.2,ioctl
0.6,4790077,31,154518.6,16820.0,9560,3579017,637386.1,mmap64
0.1,1185042,10,118504.2,51246.0,25910,772505,230078.8,sem_timedwait
0.1,549654,35,15704.4,9060.0,2720,70791,15557.8,fopen
0.1,479879,2,239939.5,239939.5,217814,262065,31290.2,pthread_create
0.1,465992,56,8321.3,7295.0,4660,28051,3346.8,open64
0.0,378947,15,25263.1,8400.0,3390,196354,48351.5,mmap
0.0,257873,28,9209.8,9815.0,1590,19970,4385.9,fclose
0.0,128522,1,128522.0,128522.0,128522,128522,0.0,pthread_cond_wait
0.0,95831,1,95831.0,95831.0,95831,95831,0.0,fgets
0.0,80954,6,13492.3,10196.0,3440,31141,10196.0,open
0.0,56360,11,5123.6,4790.0,3480,10510,1908.7,write
0.0,49162,12,4096.8,2885.0,1070,15861,4029.0,close
0.0,44200,2,22100.0,22100.0,8270,35930,19558.6,socket
0.0,44161,1,44161.0,44161.0,44161,44161,0.0,connect
0.0,35721,3,11907.0,12480.0,6741,16500,4904.7,pipe2
0.0,35201,12,2933.4,2020.0,1060,8791,2404.2,read
0.0,31070,3,10356.7,10100.0,9760,11210,758.3,munmap
0.0,12420,8,1552.5,1290.0,1010,2470,545.2,fcntl
0.0,6800,2,3400.0,3400.0,1240,5560,3054.7,fwrite
0.0,4560,1,4560.0,4560.0,4560,4560,0.0,pthread_cond_broadcast
0.0,3000,1,3000.0,3000.0,3000,3000,0.0,bind
0.0,2270,1,2270.0,2270.0,2270,2270,0.0,listen
