Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.3,614931114,41,14998319.9,10069948.0,4871,141964832,24774497.3,poll
27.3,235402325,664,354521.6,26300.5,1380,35490828,1586616.8,ioctl
0.7,6273577,31,202373.5,21031.0,10881,4766084,849287.8,mmap64
0.2,1756704,10,175670.4,58131.0,37101,820446,272925.3,sem_timedwait
0.1,791499,56,14133.9,8980.0,6390,206824,26646.5,open64
0.1,683353,2,341676.5,341676.5,329996,353357,16518.7,pthread_create
0.1,573259,35,16378.8,9610.0,3340,71521,14422.3,fopen
0.0,429730,15,28648.7,9271.0,4370,230235,56578.3,mmap
0.0,385097,28,13753.5,14505.0,2130,33940,7414.7,fclose
0.0,140063,1,140063.0,140063.0,140063,140063,0.0,pthread_cond_wait
0.0,116842,1,116842.0,116842.0,116842,116842,0.0,fgets
0.0,82413,6,13735.5,10876.0,4430,27231,8525.0,open
0.0,65091,12,5424.3,4965.0,2060,8631,1907.9,write
0.0,59511,11,5410.1,3500.0,2130,15570,4667.0,close
0.0,46241,3,15413.7,14090.0,10291,21860,5897.0,munmap
0.0,43301,15,2886.7,2240.0,1700,6080,1348.3,read
0.0,41800,2,20900.0,20900.0,14410,27390,9178.2,socket
0.0,37680,1,37680.0,37680.0,37680,37680,0.0,connect
0.0,36180,3,12060.0,14680.0,6580,14920,4747.3,pipe2
0.0,10140,6,1690.0,1545.0,1110,2610,602.8,fcntl
0.0,6881,2,3440.5,3440.5,2141,4740,1837.8,fwrite
0.0,4450,1,4450.0,4450.0,4450,4450,0.0,pthread_cond_broadcast
0.0,2821,1,2821.0,2821.0,2821,2821,0.0,bind
0.0,2270,1,2270.0,2270.0,2270,2270,0.0,listen
