Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.6,712230280,44,16187051.8,10067813.0,3591,119492918,24245744.5,poll
23.2,218865348,670,326664.7,22125.0,1040,28872191,1322085.7,ioctl
0.5,4767705,31,153796.9,17130.0,8980,3555376,633075.4,mmap64
0.2,2202181,26,84699.3,14240.0,2870,399588,139625.6,mmap
0.2,1522970,10,152297.0,50981.0,36741,578491,214486.9,sem_timedwait
0.1,522010,35,14914.6,7910.0,2340,56961,13752.9,fopen
0.1,500258,56,8933.2,6900.5,3690,25031,4598.5,open64
0.0,432148,2,216074.0,216074.0,214734,217414,1895.0,pthread_create
0.0,257669,28,9202.5,9755.5,1600,19631,4289.7,fclose
0.0,144122,1,144122.0,144122.0,144122,144122,0.0,pthread_cond_wait
0.0,91762,1,91762.0,91762.0,91762,91762,0.0,fgets
0.0,76290,6,12715.0,10725.0,3520,26860,8642.0,open
0.0,59751,12,4979.3,5235.0,1500,8080,1917.2,write
0.0,58622,5,11724.4,10920.0,9351,16330,2677.1,munmap
0.0,39560,10,3956.0,3225.0,1570,7190,2283.9,close
0.0,36891,3,12297.0,14070.0,7311,15510,4377.6,pipe2
0.0,31760,15,2117.3,1780.0,1490,3620,694.0,read
0.0,30460,2,15230.0,15230.0,12630,17830,3677.0,socket
0.0,24991,1,24991.0,24991.0,24991,24991,0.0,connect
0.0,5200,1,5200.0,5200.0,5200,5200,0.0,pthread_cond_broadcast
0.0,3740,2,1870.0,1870.0,1280,2460,834.4,fwrite
0.0,3180,1,3180.0,3180.0,3180,3180,0.0,bind
0.0,2330,2,1165.0,1165.0,1060,1270,148.5,fcntl
0.0,1990,1,1990.0,1990.0,1990,1990,0.0,fflush
0.0,1530,1,1530.0,1530.0,1530,1530,0.0,listen
