Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.8,206654863,5,41330972.6,125732.0,121943,206149563,92136393.1,cudaMalloc
3.1,6735957,6,1122659.5,900386.5,607892,2133570,576629.2,cudaMemcpyAsync
0.6,1318235,5,263647.0,237635.0,223794,320886,47994.9,cudaFree
0.3,669082,3,223027.3,299075.0,3640,366367,192951.2,cudaDeviceSynchronize
0.1,200004,3,66668.0,22490.0,7750,169764,89587.4,cudaLaunchKernel
0.1,115652,1,115652.0,115652.0,115652,115652,0.0,cuLibraryLoadData
0.0,28191,3,9397.0,3880.0,3390,20921,9983.1,cudaStreamDestroy
0.0,26740,3,8913.3,3850.0,3170,19720,9365.0,cudaStreamCreate
0.0,1400,1,1400.0,1400.0,1400,1400,0.0,cuModuleGetLoadingMode
0.0,900,3,300.0,150.0,100,650,304.1,cuKernelGetName
0.0,810,2,405.0,405.0,320,490,120.2,cuLibraryGetKernel
