Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.4,189874272,5,37974854.4,121133.0,111702,189385102,84640902.0,cudaMalloc
3.4,6848384,6,1141397.3,504105.0,349056,4506768,1653970.4,cudaMemcpyAsync
0.7,1305416,5,261083.2,244715.0,221524,309356,44079.2,cudaFree
0.3,600824,3,200274.7,114083.0,3791,482950,250938.4,cudaDeviceSynchronize
0.1,174293,3,58097.7,20640.0,6530,147123,77420.3,cudaLaunchKernel
0.0,92682,1,92682.0,92682.0,92682,92682,0.0,cuLibraryLoadData
0.0,28060,3,9353.3,3330.0,3110,21620,10623.8,cudaStreamDestroy
0.0,27291,3,9097.0,6351.0,3250,17690,7601.6,cudaStreamCreate
0.0,830,3,276.7,220.0,120,490,191.4,cuKernelGetName
0.0,710,1,710.0,710.0,710,710,0.0,cuModuleGetLoadingMode
0.0,620,2,310.0,310.0,240,380,99.0,cuLibraryGetKernel
