Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.3,521758938,34,15345851.1,10070044.0,6560,120184532,24236276.0,poll
30.6,233658497,668,349788.2,23220.5,1070,38322778,1660448.2,ioctl
0.6,4818949,31,155450.0,17040.0,12020,3607997,642504.3,mmap64
0.2,1263213,10,126321.3,66776.5,39200,643382,183039.8,sem_timedwait
0.1,567208,35,16205.9,8430.0,2380,76071,16184.8,fopen
0.1,510534,56,9116.7,7510.0,3630,30261,4607.7,open64
0.1,398928,2,199464.0,199464.0,188614,210314,15344.2,pthread_create
0.0,381106,15,25407.1,11240.0,4390,190924,46519.5,mmap
0.0,265457,28,9480.6,9660.5,1580,20291,4884.8,fclose
0.0,184133,1,184133.0,184133.0,184133,184133,0.0,pthread_cond_wait
0.0,94932,6,15822.0,11925.5,3430,34030,11929.1,open
0.0,94372,1,94372.0,94372.0,94372,94372,0.0,fgets
0.0,75602,11,6872.9,6540.0,3810,11810,2979.8,write
0.0,50770,13,3905.4,2620.0,1040,8390,2824.1,close
0.0,42440,3,14146.7,10870.0,8720,22850,7613.6,munmap
0.0,39640,15,2642.7,2580.0,1240,4450,988.1,read
0.0,35260,2,17630.0,17630.0,13200,22060,6265.0,socket
0.0,32611,3,10870.3,12981.0,4570,15060,5554.4,pipe2
0.0,29970,1,29970.0,29970.0,29970,29970,0.0,connect
0.0,7500,2,3750.0,3750.0,1260,6240,3521.4,fwrite
0.0,7420,6,1236.7,1150.0,1010,1680,250.1,fcntl
0.0,5020,1,5020.0,5020.0,5020,5020,0.0,pthread_cond_broadcast
0.0,1920,1,1920.0,1920.0,1920,1920,0.0,bind
0.0,1610,1,1610.0,1610.0,1610,1610,0.0,listen
0.0,1250,1,1250.0,1250.0,1250,1250,0.0,fflush
