Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.0,479052916,32,14970403.6,10070113.0,2230,117613111,23537917.5,poll
29.7,206310772,670,307926.5,22736.0,1070,27386699,1254617.6,ioctl
0.7,4929132,31,159004.3,17881.0,7320,3714853,661609.6,mmap64
0.2,1398597,10,139859.7,68696.0,46821,842156,247048.6,sem_timedwait
0.1,577984,35,16513.8,8610.0,2480,71461,16886.7,fopen
0.1,528621,2,264310.5,264310.5,200904,327717,89670.3,pthread_create
0.1,509882,56,9105.0,7231.0,3850,73401,9086.3,open64
0.1,364679,15,24311.9,7531.0,3170,177743,43792.3,mmap
0.0,284541,28,10162.2,9745.0,1660,31920,5862.2,fclose
0.0,93662,1,93662.0,93662.0,93662,93662,0.0,fgets
0.0,87541,6,14590.2,13695.0,3630,30111,9769.2,open
0.0,65941,12,5495.1,4740.0,1800,11560,2750.2,write
0.0,60461,2,30230.5,30230.5,14790,45671,21836.2,socket
0.0,58453,13,4496.4,3401.0,1080,19131,4808.0,close
0.0,49860,3,16620.0,17290.0,10450,22120,5863.8,pipe2
0.0,47941,1,47941.0,47941.0,47941,47941,0.0,pthread_cond_wait
0.0,44231,1,44231.0,44231.0,44231,44231,0.0,connect
0.0,42824,15,2854.9,2110.0,1590,7610,1633.5,read
0.0,32251,3,10750.3,10190.0,7410,14651,3652.9,munmap
0.0,13980,6,2330.0,1360.0,1000,5860,1922.2,fcntl
0.0,8031,2,4015.5,4015.5,1890,6141,3005.9,fwrite
0.0,2410,1,2410.0,2410.0,2410,2410,0.0,bind
0.0,1980,1,1980.0,1980.0,1980,1980,0.0,listen
0.0,1400,1,1400.0,1400.0,1400,1400,0.0,pthread_cond_broadcast
0.0,1300,1,1300.0,1300.0,1300,1300,0.0,fflush
